Ean,Myyntihinta,Kuntoluokitus,Nimi,Alkuperäinen nimi,Vuosi,Ohjaaja,Näyttelijöitä,Formaatti,Levyjä,Julkaisualue,Julkaisu,Tekstitys,Puhuttu kieli,Muuta,Vuokrajulkaisu,Slipcover,Kaksipuolinen levy,Skannattu,Kotelo,Toimitusluokka
6420614656358,1.5,"10,10",Braveheart - Taipumaton,Braveheart,1995,Mel Gibson,Mel Gibson,DVD,2,Englanti,Twentieth Century Fox,suomi; ruotsi; jne,,"Two Disc Special Edition, enkkukantinen suomijulkaisu, muoveissa",,TRUE,,,,B
5051895230039,3.5,"10, 8, 7 (hienoinen hankauma), 9, 9",Game of Thrones - Kausi 2,Game of Thrones - The Complete Second Season,,,,DVD,5,Pohjoismaat,,suomi; ruotsi; jne,,karttaposteri ja liukukansi mukana,,TRUE,,,,B
8717418208516,4,"10, 10",Lumikki ja seitsemän kääpiötä,Snow White and the Seven Dwarfs,1937,,,DVD,2,Suomi,Disney,suomi; ruotsi; jne,suomi; englanti,,,TRUE,,,,B
7332431021020,6,"9, 9, 7, 7, 8, 9",MacGyver - Kausi 2,MacGyver - The Complete Second Season,,,,DVD,6,Pohjoismaat,Paramount,suomi; ruotsi; jne,,vihko mukana,,TRUE,,,box,C
5050582072525,3,"8,9",Monthy Python: elämän tarkoitus,Monty Python’s the Meaning of Life,1983,Terry Jones,"Graham Chapman, John Cleese, Terry Gilliam, Eric Idle, Terry Jones, Michael Palin",DVD,2,Suomi,Universal,suomi; ruotsi; jne,,,,TRUE,,,,B
5050582202069,2.5,"9, 10",Scarface - Arpinaama,Scarface,1983,Brian De Palma,"Al Pacino, Steven Bauer, Michelle Pfeiffer, Mary Elizabeth Mastrantonio, Robert Loggia",DVD,2,Suomi,Universal,suomi; ruotsi; jne,,,,TRUE,,,,B
5706136325721,3,"9, 9",Stalingrad,,1993,Joseph Vilsmaier,,DVD,2,Suomi,Scanbox,suomi; ruotsi; jne,,vihko mukana,,TRUE,,,digipack,B
5050583023939,4.5,"8, 10",The Ring Collection: Ring + Ring 2,,,,,DVD,2,Suomi,Dreamworks,suomi; ruotsi; jne,,,,TRUE,,,box,C
6438044111651,2.8,"8, 9",007 ja Kultainen ase,The Man with the Golden Gun,1974,Guy Hamilton,"Roger Moore,  Christopher Lee",DVD,2,Suomi,MGM,suomi; ruotsi; jne,,Kahden levyn Ultimate Edition,,,,,,A
7340110407423,4.5,10,ABCs of Death 2,,2014,,,DVD,1,Ruotsi,Njuta Films,suomi; ruotsi; jne,,muoveissa,,,,,,A
